ERCC ID,Mw ,conc ,Length,GC,pA_length
ERCC-00130,346815.6,10.404468,1073,0.460391426,22
ERCC-00004,169827.2,1.273704,531,0.346516008,24
ERCC-00136,337910.4,0.633582,1047,0.417382999,22
ERCC-00108,331036,0.31034625,1030,0.490291262,25
ERCC-00116,642597.8,0.301217719,1999,0.501250625,22
ERCC-00092,364327.4,0.085389234,1132,0.501766784,24
ERCC-00095,170855,0.02002207,535,0.377570093,22
ERCC-00131,250887.8,0.029400914,779,0.474967908,24
ERCC-00062,331116.2,0.01940134,1031,0.309408341,24
ERCC-00019,210154.4,0.006156867,652,0.487730061,25
ERCC-00144,176015.2,0.005156695,546,0.456043956,25
ERCC-00170,333074.2,0.004879017,1031,0.338506305,24
ERCC-00154,175929,0.001288542,545,0.500917431,24
ERCC-00085,273934.4,0.002006355,852,0.485915493,24
ERCC-00028,368832.8,0.001350706,1144,0.506993007,24
ERCC-00033,656082.2,0.001201322,2036,0.32956778,22
ERCC-00134,91205.4,0.000167002,282,0.319148936,25
ERCC-00147,333736.2,0.000305545,1031,0.365664403,24
ERCC-00097,169800.2,7.77E-05,531,0.36346516,25
ERCC-00156,161810.4,7.41E-05,502,0.490039841,24
ERCC-00123,327523,7.50E-05,1030,0.357281553,24
ERCC-00017,369653.8,4.23E-05,1144,0.513986014,23
ERCC-00083,329870.2,9.44E-06,1036,0.348455598,23
ERCC-00096,359177,5.387655,1115,0.50941704,24
ERCC-00171,165633.6,0.621126,513,0.477582846,24
ERCC-00009,321807,0.301694063,1000,0.473,24
ERCC-00042,328361.2,0.153919313,1031,0.392822502,24
ERCC-00060,170806.2,0.040032703,531,0.314500942,25
ERCC-00035,366989.6,0.043006594,1138,0.513181019,24
ERCC-00025,643552.4,0.037708148,2002,0.501498501,24
ERCC-00051,90967.4,0.005330121,282,0.34751773,24
ERCC-00053,330582.2,0.009685025,1031,0.31328807,24
ERCC-00148,162522.4,0.002380699,502,0.486055777,24
ERCC-00126,363992.4,0.00533192,1132,0.506183746,21
ERCC-00034,330750.4,0.002422488,1027,0.491723466,24
ERCC-00150,241739.2,0.000885275,751,0.470039947,24
ERCC-00067,210062.4,0.000769271,652,0.472392638,24
ERCC-00031,368343.2,0.000674457,1146,0.478184991,24
ERCC-00109,175536.8,0.000160709,544,0.455882353,24
ERCC-00073,196569.2,0.000179964,611,0.471358429,24
ERCC-00158,335281.2,0.00015348,1041,0.345821326,23
ERCC-00104,651918.2,0.000149212,2036,0.329076621,23
ERCC-00142,161701.2,3.70E-05,501,0.499001996,23
ERCC-00138,331846.8,3.80E-05,1031,0.329776916,25
ERCC-00117,368368.8,2.11E-05,1144,0.511363636,24
ERCC-00075,328053.2,4.69E-06,1031,0.363724539,24
ERCC-00074,170151,2.552265,530,0.349056604,24
ERCC-00113,273308.6,1.02490725,848,0.504716981,23
ERCC-00145,338791,0.317616563,1050,0.443809524,26
ERCC-00111,321970.4,0.150923625,1002,0.471057884,24
ERCC-00076,209048,0.048995625,650,0.496923077,24
ERCC-00044,376895,0.044167383,1170,0.500854701,21
ERCC-00162,169020.2,0.009903527,531,0.36346516,24
ERCC-00071,208727,0.012230098,650,0.484615385,24
ERCC-00084,323056.4,0.009464543,1002,0.502994012,24
ERCC-00099,440892,0.006458379,1370,0.416058394,26
ERCC-00054,91577.4,0.001341466,282,0.375886525,26
ERCC-00157,331246.4,0.002426121,1027,0.501460565,24
ERCC-00143,254316.4,0.000931334,792,0.486111111,25
ERCC-00039,240933.6,0.000882325,748,0.489304813,24
ERCC-00058,369159.8,0.000675952,1144,0.501748252,24
ERCC-00120,175216.8,0.000160416,544,0.483455882,24
ERCC-00040,242349.4,0.000221878,752,0.526595745,24
ERCC-00164,327370,0.000149858,1030,0.37184466,23
ERCC-00024,175739.8,4.02E-05,544,0.463235294,25
ERCC-00016,276231.6,6.32E-05,858,0.486013986,24
ERCC-00012,322874.4,3.70E-05,1002,0.508982036,24
ERCC-00098,371581.2,2.13E-05,1151,0.514335361,25
ERCC-00057,332835,4.76E-06,1035,0.498550725,21
ERCC-00002,343773.8,5.156607,1069,0.513564079,24
ERCC-00046,170699,0.64012125,530,0.350943396,24
ERCC-00003,330141.2,0.309507375,1031,0.327837051,24
ERCC-00043,332733.2,0.155968688,1031,0.328806984,24
ERCC-00022,243789.8,0.057138234,759,0.472990777,24
ERCC-00112,367543.8,0.043071539,1144,0.471153846,24
ERCC-00165,282400,0.016546875,880,0.5,24
ERCC-00079,210368.4,0.012326273,652,0.493865031,24
ERCC-00078,322705.2,0.009454254,1001,0.5004995,24
ERCC-00163,177560.2,0.002600979,551,0.466424682,24
ERCC-00059,171361.6,0.00251018,533,0.480300188,24
ERCC-00160,242048.2,0.001772814,751,0.456724368,24
ERCC-00014,637893.4,0.002336035,1977,0.443601416,20
ERCC-00077,90305.2,0.000330708,281,0.334519573,23
ERCC-00069,369276,0.000676165,1145,0.502183406,24
ERCC-00137,175830,0.000160977,545,0.495412844,24
ERCC-00013,264026.2,0.000241723,816,0.428921569,24
ERCC-00168,329010.4,0.000150609,1032,0.343023256,25
ERCC-00041,369490.6,8.46E-05,1143,0.455818023,22
ERCC-00081,174934.4,4.00E-05,542,0.487084871,25
ERCC-00086,333179.8,3.81E-05,1034,0.325918762,22
ERCC-00061,369065.8,2.11E-05,1144,0.500874126,24
ERCC-00048,322722,4.62E-06,1000,0.477,24
